date,age,confirmed_cases_total,confirmed_cases_percent,deaths_total,deaths_percent
2/16/22,0-4,263540,0.032,18,0
2/16/22,17-May,1298089,0.157,34,0
2/16/22,18-34,2661175,0.321,1419,0.017
2/16/22,35-49,1908582,0.23,5351,0.065
2/16/22,50-59,1018985,0.123,9519,0.115
2/16/22,60-64,381698,0.046,7903,0.096
2/16/22,65-69,262469,0.032,8861,0.107
2/16/22,70-74,180317,0.022,9531,0.115
2/16/22,75-79,118099,0.014,9678,0.117
2/16/22,80+,184726,0.022,30266,0.366
2/9/22,0-4,258667,0.032,18,0
2/9/22,17-May,1279300,0.156,33,0
2/9/22,18-34,2634558,0.322,1397,0.017
2/9/22,35-49,1886822,0.231,5265,0.065
2/9/22,50-59,1007448,0.123,9365,0.116
2/9/22,60-64,376602,0.046,7776,0.096
2/9/22,65-69,258517,0.032,8703,0.107
2/9/22,70-74,177310,0.022,9354,0.115
2/9/22,75-79,116030,0.014,9463,0.117
2/9/22,80+,181253,0.022,29691,0.366
2/2/22,0-4,248849,0.031,18,0
2/2/22,17-May,1235496,0.155,33,0
2/2/22,18-34,2577485,0.323,1381,0.017
2/2/22,35-49,1840536,0.231,5204,0.065
2/2/22,50-59,983442,0.123,9232,0.116
2/2/22,60-64,366880,0.046,7668,0.096
2/2/22,65-69,251113,0.032,8577,0.107
2/2/22,70-74,172335,0.022,9217,0.115
2/2/22,75-79,112607,0.014,9310,0.117
2/2/22,80+,176138,0.022,29154,0.365
1/26/22,0-4,233112,0.031,17,0
1/26/22,17-May,1160511,0.152,32,0
1/26/22,18-34,2487533,0.326,1361,0.017
1/26/22,35-49,1767011,0.232,5118,0.065
1/26/22,50-59,945216,0.124,9142,0.116
1/26/22,60-64,351488,0.046,7563,0.096
1/26/22,65-69,239868,0.031,8475,0.108
1/26/22,70-74,164510,0.022,9065,0.115
1/26/22,75-79,107401,0.014,9153,0.116
1/26/22,80+,168750,0.022,28637,0.364
1/12/22,0-4,175513,0.028,15,0
1/12/22,17-May,863115,0.137,31,0
1/12/22,18-34,2113251,0.336,1321,0.017
1/12/22,35-49,1471332,0.234,4977,0.065
1/12/22,50-59,795103,0.126,8946,0.116
1/12/22,60-64,295733,0.047,7408,0.096
1/12/22,65-69,201808,0.032,8288,0.108
1/12/22,70-74,139321,0.022,8883,0.116
1/12/22,75-79,91552,0.015,8930,0.116
1/12/22,80+,146956,0.023,27998,0.365
1/5/22,0-4,150056,0.027,13,0
1/5/22,17-May,695997,0.126,31,0
1/5/22,18-34,1863236,0.337,1293,0.017
1/5/22,35-49,1303936,0.236,4915,0.065
1/5/22,50-59,713331,0.129,8838,0.116
1/5/22,60-64,268005,0.048,7319,0.096
1/5/22,65-69,184033,0.033,8205,0.108
1/5/22,70-74,127625,0.023,8797,0.116
1/5/22,75-79,84216,0.015,8856,0.116
1/5/22,80+,137467,0.025,27775,0.365
12/29/21,0-4,136862,0.027,13,0
12/29/21,17-May,642597,0.125,30,0
12/29/21,18-34,1716327,0.334,1286,0.017
12/29/21,35-49,1208904,0.235,4890,0.065
12/29/21,50-59,667133,0.13,8794,0.116
12/29/21,60-64,252730,0.049,7281,0.096
12/29/21,65-69,174099,0.034,8162,0.108
12/29/21,70-74,121145,0.024,8739,0.115
12/29/21,75-79,80105,0.016,8824,0.117
12/29/21,80+,132464,0.026,27712,0.366
12/22/21,0-4,132378,0.027,13,0
12/22/21,17-May,625349,0.126,29,0
12/22/21,18-34,1644314,0.331,1278,0.017
12/22/21,35-49,1169442,0.235,4855,0.064
12/22/21,50-59,649777,0.131,8743,0.116
12/22/21,60-64,247112,0.05,7246,0.096
12/22/21,65-69,170479,0.034,8122,0.108
12/22/21,70-74,118787,0.024,8699,0.115
12/22/21,75-79,78632,0.016,8791,0.117
12/22/21,80+,130675,0.026,27600,0.366
12/15/21,0-4,130405,0.027,12,0
12/15/21,17-May,616892,0.126,29,0
12/15/21,18-34,1615709,0.33,1262,0.017
12/15/21,35-49,1153862,0.235,4808,0.064
12/15/21,50-59,643094,0.131,8672,0.116
12/15/21,60-64,244653,0.05,7188,0.096
12/15/21,65-69,169003,0.034,8063,0.108
12/15/21,70-74,117722,0.024,8643,0.115
12/15/21,75-79,78011,0.016,8737,0.117
12/15/21,80+,129897,0.026,27459,0.367
12/8/21,0-4,128858,0.027,12,0
12/8/21,17-May,608716,0.125,29,0
12/8/21,18-34,1603804,0.33,1248,0.017
12/8/21,35-49,1144806,0.235,4765,0.064
12/8/21,50-59,638549,0.131,8598,0.116
12/8/21,60-64,242827,0.05,7145,0.096
12/8/21,65-69,167758,0.035,7996,0.107
12/8/21,70-74,116869,0.024,8595,0.115
12/8/21,75-79,77396,0.016,8698,0.117
12/8/21,80+,129128,0.027,27340,0.367
12/1/21,0-4,127092,0.026,12,0
12/1/21,17-May,599161,0.124,28,0
12/1/21,18-34,1590924,0.33,1239,0.017
12/1/21,35-49,1134297,0.236,4712,0.064
12/1/21,50-59,633242,0.132,8535,0.115
12/1/21,60-64,240696,0.05,7077,0.096
12/1/21,65-69,166395,0.035,7935,0.107
12/1/21,70-74,115906,0.024,8540,0.116
12/1/21,75-79,76710,0.016,8645,0.117
12/1/21,80+,128245,0.027,27190,0.368
11/23/21,0-4,125874,0.026,12,0
11/23/21,17-May,593655,0.124,27,0
11/23/21,18-34,1580846,0.331,1224,0.017
11/23/21,35-49,1125870,0.235,4655,0.063
11/23/21,50-59,629040,0.132,8443,0.115
11/23/21,60-64,239002,0.05,7031,0.096
11/23/21,65-69,165236,0.035,7893,0.108
11/23/21,70-74,115101,0.024,8480,0.116
11/23/21,75-79,76155,0.016,8583,0.117
11/23/21,80+,127465,0.027,27011,0.368
11/17/21,0-4,124858,0.026,12,0
11/17/21,17-May,588265,0.124,27,0
11/17/21,18-34,1573191,0.331,1208,0.017
11/17/21,35-49,1119379,0.236,4604,0.063
11/17/21,50-59,625755,0.132,8376,0.115
11/17/21,60-64,237611,0.05,6974,0.096
11/17/21,65-69,164270,0.035,7835,0.108
11/17/21,70-74,114468,0.024,8404,0.115
11/17/21,75-79,75737,0.016,8530,0.117
11/17/21,80+,126846,0.027,26871,0.369
11/10/21,0-4,123700,0.026,11,0
11/10/21,17-May,581728,0.123,27,0
11/10/21,18-34,1563703,0.331,1200,0.017
11/10/21,35-49,1111943,0.236,4549,0.063
11/10/21,50-59,621904,0.132,8289,0.115
11/10/21,60-64,235937,0.05,6907,0.096
11/10/21,65-69,163176,0.035,7769,0.107
11/10/21,70-74,113639,0.024,8345,0.115
11/10/21,75-79,75204,0.016,8447,0.117
11/10/21,80+,126078,0.027,26738,0.37
11/3/21,0-4,122281,0.026,11,0
11/3/21,17-May,573659,0.123,27,0
11/3/21,18-34,1552758,0.332,1187,0.017
11/3/21,35-49,1102934,0.236,4475,0.062
11/3/21,50-59,617471,0.132,8214,0.114
11/3/21,60-64,234115,0.05,6855,0.096
11/3/21,65-69,161963,0.035,7717,0.108
11/3/21,70-74,112711,0.024,8275,0.115
11/3/21,75-79,74595,0.016,8385,0.117
11/3/21,80+,125199,0.027,26606,0.371
10/27/21,0-4,120899,0.026,11,0
10/27/21,17-May,565915,0.122,26,0
10/27/21,18-34,1541780,0.332,1175,0.016
10/27/21,35-49,1093966,0.236,4428,0.062
10/27/21,50-59,612885,0.132,8131,0.114
10/27/21,60-64,232140,0.05,6808,0.095
10/27/21,65-69,160534,0.035,7681,0.108
10/27/21,70-74,111632,0.024,8243,0.115
10/27/21,75-79,73960,0.016,8361,0.117
10/27/21,80+,124189,0.027,26537,0.372
10/20/21,0-4,120671,0.026,11,0
10/20/21,17-May,559596,0.122,26,0
10/20/21,18-34,1531823,0.333,1159,0.016
10/20/21,35-49,1083961,0.236,4349,0.061
10/20/21,50-59,607722,0.132,8034,0.114
10/20/21,60-64,229660,0.05,6738,0.095
10/20/21,65-69,158593,0.034,7617,0.108
10/20/21,70-74,110299,0.024,8158,0.115
10/20/21,75-79,73005,0.016,8291,0.117
10/20/21,80+,122590,0.027,26351,0.372
10/13/21,0-4,119393,0.026,11,0
10/13/21,17-May,552330,0.121,26,0
10/13/21,18-34,1522693,0.334,1133,0.016
10/13/21,35-49,1075917,0.236,4261,0.061
10/13/21,50-59,603657,0.132,7913,0.113
10/13/21,60-64,227894,0.05,6653,0.095
10/13/21,65-69,157277,0.034,7522,0.107
10/13/21,70-74,109379,0.024,8077,0.115
10/13/21,75-79,72392,0.016,8225,0.117
10/13/21,80+,121787,0.027,26182,0.374
10/6/21,0-4,118074,0.026,11,0
10/6/21,17-May,545040,0.12,26,0
10/6/21,18-34,1512991,0.334,1115,0.016
10/6/21,35-49,1067931,0.236,4179,0.06
10/6/21,50-59,599491,0.132,7794,0.112
10/6/21,60-64,226187,0.05,6569,0.095
10/6/21,65-69,155979,0.034,7449,0.107
10/6/21,70-74,108482,0.024,8016,0.116
10/6/21,75-79,71731,0.016,8144,0.117
10/6/21,80+,121024,0.027,26041,0.375
9/29/21,0-4,116585,0.026,11,0
9/29/21,17-May,536720,0.12,26,0
9/29/21,18-34,1501442,0.334,1096,0.016
9/29/21,35-49,1058972,0.236,4089,0.06
9/29/21,50-59,594956,0.133,7676,0.112
9/29/21,60-64,224259,0.05,6484,0.094
9/29/21,65-69,154542,0.034,7363,0.107
9/29/21,70-74,107526,0.024,7943,0.116
9/29/21,75-79,71056,0.016,8085,0.118
9/29/21,80+,120183,0.027,25889,0.377
9/22/21,0-4,114772,0.026,10,0
9/22/21,17-May,527125,0.119,25,0
9/22/21,18-34,1487820,0.335,1079,0.016
9/22/21,35-49,1048488,0.236,3995,0.059
9/22/21,50-59,589710,0.133,7558,0.111
9/22/21,60-64,222064,0.05,6380,0.094
9/22/21,65-69,152958,0.034,7288,0.107
9/22/21,70-74,106382,0.024,7855,0.116
9/22/21,75-79,70310,0.016,8008,0.118
