date,age_group,partially_vaccinated,at_least_one_dose,fully_vaccinated,population_total,population_12_and_up,partially_vaccinated_percent,partially_vaccinated_percent_12_and_up,at_least_one_dose_percent,at_least_one_dose_percent_12_and_up,fully_vaccinated_percent,fully_vaccinated_percent_12_and_up
2/17/22,17-Dec,250267,2316819,2066552,3168617,3168617,0.078983039,0.078983039,0.731176725,0.731176725,0.652193686,0.652193686
2/16/22,17-Dec,250679,2316037,2065358,3168617,3168617,0.079113064,0.079113064,0.730929929,0.730929929,0.651816865,0.651816865
2/15/22,17-Dec,251315,2314952,2063637,3168617,3168617,0.079313783,0.079313783,0.730587509,0.730587509,0.651273726,0.651273726
2/14/22,17-Dec,252055,2314044,2061989,3168617,3168617,0.079547323,0.079547323,0.730300948,0.730300948,0.650753625,0.650753625
2/13/22,17-Dec,252633,2313115,2060482,3168617,3168617,0.079729737,0.079729737,0.73000776,0.73000776,0.650278024,0.650278024
2/12/22,17-Dec,252817,2312697,2059880,3168617,3168617,0.079787806,0.079787806,0.729875842,0.729875842,0.650088035,0.650088035
2/11/22,17-Dec,253265,2311521,2058256,3168617,3168617,0.079929193,0.079929193,0.729504702,0.729504702,0.649575509,0.649575509
2/10/22,17-Dec,253973,2309557,2055584,3168617,3168617,0.080152634,0.080152634,0.728884873,0.728884873,0.648732239,0.648732239
2/9/22,17-Dec,254626,2308227,2053601,3168617,3168617,0.080358718,0.080358718,0.728465132,0.728465132,0.648106414,0.648106414
2/8/22,17-Dec,255430,2306751,2051321,3168617,3168617,0.080612456,0.080612456,0.727999313,0.727999313,0.647386857,0.647386857
2/7/22,17-Dec,256098,2305376,2049278,3168617,3168617,0.080823274,0.080823274,0.72756537,0.72756537,0.646742096,0.646742096
2/6/22,17-Dec,256685,2303914,2047229,3168617,3168617,0.081008528,0.081008528,0.72710397,0.72710397,0.646095442,0.646095442
2/5/22,17-Dec,256827,2303187,2046360,3168617,3168617,0.081053343,0.081053343,0.726874532,0.726874532,0.645821189,0.645821189
2/4/22,17-Dec,257213,2301597,2044384,3168617,3168617,0.081175163,0.081175163,0.726372736,0.726372736,0.645197574,0.645197574
2/3/22,17-Dec,258084,2299218,2041134,3168617,3168617,0.081450046,0.081450046,0.725621935,0.725621935,0.64417189,0.64417189
2/2/22,17-Dec,258659,2297476,2038817,3168617,3168617,0.081631513,0.081631513,0.725072169,0.725072169,0.643440656,0.643440656
2/1/22,17-Dec,259453,2295772,2036319,3168617,3168617,0.081882096,0.081882096,0.724534395,0.724534395,0.642652299,0.642652299
1/31/22,17-Dec,260078,2294047,2033969,3168617,3168617,0.082079343,0.082079343,0.723989993,0.723989993,0.641910651,0.641910651
1/30/22,17-Dec,260595,2292156,2031561,3168617,3168617,0.082242505,0.082242505,0.723393203,0.723393203,0.641150698,0.641150698
1/29/22,17-Dec,260704,2291363,2030659,3168617,3168617,0.082276905,0.082276905,0.723142936,0.723142936,0.640866031,0.640866031
1/28/22,17-Dec,260877,2289279,2028402,3168617,3168617,0.082331503,0.082331503,0.722485236,0.722485236,0.640153733,0.640153733
