race_ethnicity,date,partially_vaccinated,at_least_one_dose,fully_vaccinated,population_total,population_12_and_up,partially_vaccinated_percent,partially_vaccinated_percent_12_and_up,at_least_one_dose_percent,at_least_one_dose_percent_12_and_up,fully_vaccinated_percent,fully_vaccinated_percent_12_and_up,race_label
unknown,2/17/22,759985,4505709,3745724,1113958,858299,0.682238469,0.885454836,0.999,0.999,0.999,0.999,Unknown
black,2/17/22,128982,1344516,1215534,2295724,1986279,0.056183583,0.064936497,0.585660994,0.676901885,0.529477411,0.611965389,Black
asian,2/17/22,398145,5129730,4731585,5367313,4703864,0.074179576,0.084642116,0.955735207,0.999,0.881555631,0.999,Asian or Pacific Islander
latino,2/17/22,1159355,9713646,8554291,15796762,13078447,0.073391939,0.088646228,0.61491374,0.74272167,0.5415218,0.654075442,Latino
aian,2/17/22,15635,107210,91575,174142,149912,0.089783051,0.104294519,0.615647001,0.71515289,0.52586395,0.61085837,American Indian or Alaska Native
white,2/17/22,813890,10395880,9581990,15205370,13397925,0.053526484,0.060747466,0.68369793,0.775932094,0.630171446,0.715184627,White
latino,2/16/22,1160669,9710007,8549338,15796762,13078447,0.073475121,0.088746699,0.614683376,0.742443426,0.541208255,0.653696727,Latino
aian,2/16/22,15647,107180,91533,174142,149912,0.08985196,0.104374566,0.615474728,0.714952772,0.525622768,0.610578206,American Indian or Alaska Native
unknown,2/16/22,760197,4503991,3743794,1113958,858299,0.682428781,0.885701836,0.999,0.999,0.999,0.999,Unknown
black,2/16/22,129257,1344076,1214819,2295724,1986279,0.056303371,0.065074947,0.585469333,0.676680366,0.529165962,0.611605419,Black
white,2/16/22,814458,10394656,9580198,15205370,13397925,0.05356384,0.060789861,0.683617433,0.775840737,0.630053593,0.715050875,White
asian,2/16/22,398260,5128882,4730622,5367313,4703864,0.074201002,0.084666563,0.955577213,0.999,0.881376212,0.999,Asian or Pacific Islander
latino,2/15/22,1162952,9704771,8541819,15796762,13078447,0.073619644,0.088921261,0.614351916,0.742043073,0.540732272,0.653121812,Latino
black,2/15/22,129683,1343335,1213652,2295724,1986279,0.056488933,0.065289418,0.585146559,0.676307306,0.528657626,0.611017888,Black
unknown,2/15/22,760378,4501662,3741284,1113958,858299,0.682591265,0.885912718,0.999,0.999,0.999,0.999,Unknown
aian,2/15/22,15673,107143,91470,174142,149912,0.090001263,0.104548001,0.615262257,0.714705961,0.525260994,0.610157959,American Indian or Alaska Native
asian,2/15/22,398564,5127668,4729104,5367313,4703864,0.074257641,0.084731191,0.955351029,0.999,0.881093389,0.999,Asian or Pacific Islander
white,2/15/22,815217,10392780,9577563,15205370,13397925,0.053613756,0.060846512,0.683494055,0.775700715,0.629880299,0.714854203,White
aian,2/14/22,15670,107087,91417,174142,149912,0.089984036,0.10452799,0.614940681,0.714332408,0.524956645,0.609804419,American Indian or Alaska Native
unknown,2/14/22,760653,4499355,3738702,1113958,858299,0.682838132,0.886233119,0.999,0.999,0.999,0.999,Unknown
black,2/14/22,130036,1342708,1212672,2295724,1986279,0.056642697,0.065467137,0.584873443,0.675991641,0.528230746,0.610524503,Black
asian,2/14/22,398892,5126496,4727604,5367313,4703864,0.074318751,0.084800921,0.955132671,0.999,0.880813919,0.999,Asian or Pacific Islander
latino,2/14/22,1165431,9699926,8534495,15796762,13078447,0.073776575,0.08911081,0.614045207,0.741672616,0.540268632,0.652561806,Latino
white,2/14/22,816090,10390933,9574843,15205370,13397925,0.05367117,0.060911671,0.683372585,0.775562858,0.629701415,0.714651187,White
white,2/13/22,816676,10389241,9572565,15205370,13397925,0.053709709,0.060955409,0.683261308,0.775436569,0.629551599,0.71448116,White
latino,2/13/22,1167106,9695458,8528352,15796762,13078447,0.07388261,0.089238883,0.613762365,0.741330985,0.539879755,0.652092102,Latino
asian,2/13/22,399139,5125322,4726183,5367313,4703864,0.074364771,0.084853431,0.954913939,0.999,0.880549169,0.999,Asian or Pacific Islander
black,2/13/22,130357,1342170,1211813,2295724,1986279,0.056782523,0.065628746,0.584639094,0.675720782,0.527856572,0.610092036,Black
unknown,2/13/22,760695,4497329,3736634,1113958,858299,0.682875836,0.886282053,0.999,0.999,0.999,0.999,Unknown
aian,2/13/22,15675,107053,91378,174142,149912,0.090012748,0.104561343,0.614745438,0.714105609,0.524732689,0.609544266,American Indian or Alaska Native
aian,2/12/22,15684,107044,91360,174142,149912,0.09006443,0.104621378,0.614693756,0.714045573,0.524629325,0.609424196,American Indian or Alaska Native
black,2/12/22,130371,1341975,1211604,2295724,1986279,0.056788621,0.065635794,0.584554154,0.675622609,0.527765533,0.609986815,Black
unknown,2/12/22,760469,4496557,3736088,1113958,858299,0.682672955,0.886018742,0.999,0.999,0.999,0.999,Unknown
asian,2/12/22,399238,5124732,4725494,5367313,4703864,0.074383216,0.084874478,0.954804015,0.999,0.880420799,0.999,Asian or Pacific Islander
latino,2/12/22,1167566,9693341,8525775,15796762,13078447,0.07391173,0.089274055,0.61362835,0.741169116,0.53971662,0.651895061,Latino
white,2/12/22,816846,10388659,9571813,15205370,13397925,0.053720889,0.060968098,0.683223032,0.77539313,0.629502143,0.714425032,White
white,2/11/22,817367,10387144,9569777,15205370,13397925,0.053755154,0.061006984,0.683123397,0.775280053,0.629368243,0.714273068,White
asian,2/11/22,399789,5123415,4723626,5367313,4703864,0.074485874,0.084991615,0.95455864,0.999,0.880072766,0.999,Asian or Pacific Islander
latino,2/11/22,1168774,9688201,8519427,15796762,13078447,0.073988201,0.089366421,0.613302967,0.740776103,0.539314766,0.651409682,Latino
black,2/11/22,130497,1341538,1211041,2295724,1986279,0.056843506,0.06569923,0.5843638,0.6754026,0.527520294,0.60970337,Black
unknown,2/11/22,760441,4494421,3733980,1113958,858299,0.68264782,0.885986119,0.999,0.999,0.999,0.999,Unknown
aian,2/11/22,15682,107013,91331,174142,149912,0.090052945,0.104608037,0.61451574,0.713838785,0.524462795,0.609230749,American Indian or Alaska Native
aian,2/10/22,15691,106939,91248,174142,149912,0.090104627,0.104668072,0.614090799,0.713345162,0.523986172,0.608677091,American Indian or Alaska Native
unknown,2/10/22,760834,4490768,3729934,1113958,858299,0.683000616,0.886444001,0.999,0.999,0.999,0.999,Unknown
asian,2/10/22,400661,5121134,4720473,5367313,4703864,0.074648339,0.085176995,0.954133661,0.999,0.879485322,0.999,Asian or Pacific Islander
white,2/10/22,818475,10384348,9565873,15205370,13397925,0.053828023,0.061089684,0.682939514,0.775071364,0.629111492,0.71398168,White
black,2/10/22,130776,1340639,1209863,2295724,1986279,0.056965036,0.065839693,0.583972202,0.674949994,0.527007166,0.609110301,Black
latino,2/10/22,1171519,9679672,8508153,15796762,13078447,0.074161971,0.089576308,0.612763046,0.740123961,0.538601075,0.650547653,Latino
aian,2/9/22,15691,106871,91180,174142,149912,0.090104627,0.104668072,0.613700314,0.712891563,0.523595686,0.608223491,American Indian or Alaska Native
asian,2/9/22,401162,5119571,4718409,5367313,4703864,0.074741682,0.085283503,0.953842453,0.999,0.879100772,0.999,Asian or Pacific Islander
white,2/9/22,819354,10381999,9562645,15205370,13397925,0.053885831,0.061155291,0.682785029,0.774896038,0.628899198,0.713740747,White
latino,2/9/22,1173843,9673096,8499253,15796762,13078447,0.074309089,0.089754005,0.612346758,0.739621149,0.538037669,0.649867144,Latino
black,2/9/22,131039,1339799,1208760,2295724,1986279,0.057079597,0.065972102,0.583606305,0.674527093,0.526526708,0.608554992,Black
unknown,2/9/22,761097,4487843,3726746,1113958,858299,0.683236711,0.886750421,0.999,0.999,0.999,0.999,Unknown
asian,2/8/22,401642,5117829,4716187,5367313,4703864,0.074831112,0.085385547,0.953517896,0.999,0.878686784,0.999,Asian or Pacific Islander
white,2/8/22,820215,10379428,9559213,15205370,13397925,0.053942456,0.061219555,0.682615944,0.774704143,0.628673488,0.713484588,White
latino,2/8/22,1176157,9666078,8489921,15796762,13078447,0.074455575,0.089930938,0.61190249,0.739084541,0.537446915,0.649153604,Latino
unknown,2/8/22,761235,4484750,3723515,1113958,858299,0.683360593,0.886911205,0.999,0.999,0.999,0.999,Unknown
aian,2/8/22,15689,106798,91109,174142,149912,0.090093142,0.104654731,0.613281115,0.712404611,0.523187973,0.60774988,American Indian or Alaska Native
black,2/8/22,131415,1338873,1207458,2295724,1986279,0.057243379,0.0661614,0.583202946,0.674060895,0.525959567,0.607899494,Black
aian,2/7/22,15688,106736,91048,174142,149912,0.0900874,0.10464806,0.612925084,0.711991035,0.522837684,0.607342975,American Indian or Alaska Native
unknown,2/7/22,761341,4481700,3720359,1113958,858299,0.68345575,0.887034705,0.999,0.999,0.999,0.999,Unknown
latino,2/7/22,1178098,9658950,8480852,15796762,13078447,0.074578448,0.09007935,0.611451258,0.738539522,0.53687281,0.648460173,Latino
black,2/7/22,131730,1337970,1206240,2295724,1986279,0.057380591,0.066319988,0.582809606,0.673606276,0.525429015,0.607286288,Black
asian,2/7/22,402309,5116379,4714070,5367313,4703864,0.074955383,0.085527345,0.953247742,0.999,0.87829236,0.999,Asian or Pacific Islander
white,2/7/22,821155,10377030,9555875,15205370,13397925,0.054004276,0.061289715,0.682458237,0.77452516,0.628453961,0.713235445,White
